attacked_rows,calibration_peak_state_bytes,elapsed_seconds,incremental_rss_bytes,k,method,n,output_bytes,p,peak_rss_bytes,rank,scenario,seed,state_bytes,status,subspace_error,throughput_rows_per_second,tier
6807,0,1628.717522862,41893888,50,vanilla_fd,68579,1600000,10000,304320512,20,bounded_out_of_subspace,507,8080000,completed,0.9707389585381057,42.10613506477922,pbmc
6807,270532992,1158.440086372,54894592,50,dual_bound,68579,1600000,10000,1077608448,20,casewise,507,12240000,completed,0.9780370658421798,59.19943621320594,pbmc
6807,0,1316.869549411,35303424,50,rfd,68579,1600000,10000,304173056,20,casewise,507,8240008,completed,0.9950289624372931,52.07729196158687,pbmc
6807,0,1393.320306362,130809856,50,sketch_mad,68579,1600000,10000,370823168,20,casewise,507,14000024,completed,0.9845124242166233,49.2198381713547,pbmc
6807,0,1364.150279432,41861120,50,vanilla_fd,68579,1600000,10000,304496640,20,casewise,507,8080000,completed,0.9989006095418931,50.27232045765125,pbmc
68067,270532992,832.162001638,55283712,50,dual_bound,68579,1600000,10000,1081774080,20,cellwise,507,12240000,completed,0.9920439852409483,82.41063622829614,pbmc
68067,0,946.722762289,35627008,50,rfd,68579,1600000,10000,307736576,20,cellwise,507,8240008,completed,0.9954163132036163,72.43831323352647,pbmc
68067,0,987.529590304,130781184,50,sketch_mad,68579,1600000,10000,374575104,20,cellwise,507,14000024,completed,0.9830151126853135,69.44500769732755,pbmc
68067,0,1025.622243754,42229760,50,vanilla_fd,68579,1600000,10000,307507200,20,cellwise,507,8080000,completed,0.9931313191353427,66.86574946832859,pbmc
0,270532992,1543.056930071,55128064,50,dual_bound,68579,1600000,10000,1076436992,20,clean,507,12240000,completed,0.9847881591774991,44.44359677438765,pbmc
0,0,1475.524250366,35295232,50,rfd,68579,1600000,10000,303579136,20,clean,507,8240008,completed,0.9246561743376585,46.47771799276708,pbmc
0,0,1714.795832451,130314240,50,sketch_mad,68579,1600000,10000,369336320,20,clean,507,14000024,completed,0.9813503016778895,39.992516136441935,pbmc
0,0,1518.491466052,42045440,50,vanilla_fd,68579,1600000,10000,303448064,20,clean,507,8080000,completed,0.9712348947915067,45.162585061015776,pbmc
